OBJECTID,type,crash/near-miss date,crash/near-miss mode,crash/near-miss time of day,mode involved,e-scooter involved,Was anyone injured?,crash cause,crash narrative,nearmiss cause,nearmiss narrative,police,unsafe location mode,unsafe location time of day,unsafe location cause,unsafe location narrative,safe location mode,safe location cause,safe location narrative,mobility device,e-bike,e-scooter,improvement,improvement narrative,address,report date,latitude,longitude,type,coordinates
101,positive,,,,,,,,,,,,,,,,walk,car-traffic,,,,,,,,10/1/2018,37.7763248,-122.286588,Point,"[-122.286587999939,37.7763249998505]"
102,unsafe,,,,,,,,,,,,walk,"day, night",poor-sidewalk,,,,,,,,,,,10/1/2018,36.9565193,-122.041972,Point,"[-122.041971999578,36.956519000107]"
103,incident,8/22/2015,bike,day,driver,,sev,other,"Motorist Passed an ascending cyclist on a Blind Curve and hit a descending cyclist!
",,,yes,,,,,,,,,,,,,,10/1/2018,37.851057,-121.932292,Point,"[-121.932292000029,37.8510569998491]"
104,unsafe,,,,,,,,,,,,bike,"day, night",poor-bikelane,Bike lane is dropped just after intersection on Shattuck traveling north. This forces bikes to merge with travel lane right after intersection. Area is particularly precarious during rush hour when traffic volumes on Shattuck are higher.,,,,,,,,,,10/1/2018,37.83807,-122.26422,Point,"[-122.26421999967,37.8380700001492]"
105,nearMiss,Nov-18,bike,day,driver,,none,,,"poor-lighting, poor-sign, unsafe-speed","Cars go at high speeds on Adeline, but Russell (Bike Blvd) crosses it twice. There are many near-misses at this intersection. ",,,,,,,,,,,,,,,10/1/2018,37.85647149,-122.268512,Point,"[-122.268512000079,37.8564710002786]"
106,nearMiss,12/10/2018,walk,night,driver,,none,,,"poor-lighting, no-yield","Pedestrian was crossing, all other cars had stopped, but one car swerved around the others and was just a foot or two feet away from hitting the pedestrian ",,,,,,,,,,,,,,,10/1/2018,37.85347113,-122.277038,Point,"[-122.277038000272,37.8534710001327]"
107,nearMiss,8/1/2014,walk,day,driver,,none,,,"no-yield, unsafe-speed, other","This was at twilight about 5:00 pm on a summer day. The setting sun limited the driver's ability to see (me), compounded by the fact they were driving too fast.",,,,,,,,,,,,,,,10/1/2018,37.86980073,-122.295884,Point,"[-122.295884000061,37.8698009996511]"
108,nearMiss,,walk,day,driver,,none,,,unsafe-speed,,,,,,,,,,,,,,,,10/1/2018,37.77327229,-122.418364,Point,"[-122.41836399977,37.7732720002796]"
109,nearMiss,12/11/2018,bike,day,"driver, bike",,none,,,poor-bikelane,Bad intersection that does not consider bikes. Free right is dangerous,,,,,,,,,,,,,,,10/1/2018,38.2430746,-122.03833,Point,"[-122.038330000346,38.2430750002453]"
111,incident,6/13/2018,bike,day,driver,,sev,car-door,Car door swung open and hit me while I was biking,,,no,,,,,,,,,,,,,,10/1/2018,37.84135162,-122.281779,Point,"[-122.281779000219,37.8413520003378]"
112,unsafe,,,,,,,,,,,,bike,"day, night",poor-street,,,,,,,,,,,10/1/2018,37.86612836,-122.306944,Point,"[-122.306944000347,37.866128000148]"
113,nearMiss,12/12/2018,bike,night,driver,,none,,,poor-lighting,I was going straight across the intersection (continuing on California) and a car was making a right turn onto Ashby and nearly hit me,,,,,,,,,,,,,,,10/1/2018,37.85359029,-122.277023,Point,"[-122.277023000203,37.8535899997408]"
114,nearMiss,1/2/2019,ride,day,"driver, ped",,none,,,other,An adult man crossed the intersection while a car heading East on E Whitmore Avenue had the right-a-away. The man was almost hit by the car.,,,,,,,,,,,,,,,10/1/2018,37.59495343,-120.993529,Point,"[-120.993529000349,37.5949529996555]"
115,unsafe,,,,,,,,,,,,"walk, bike, ride",night,"poor-lighting, driving-speed","The area in very poorly lit. In the dark, it's very difficult for drivers to see pedestrians/cyclists crossing at the crosswalk. This is an exit for the Fremont BART parking lot. It's especially dangerous for folks who walk home from BART in the evenings.",,,,,,,,,,10/1/2018,37.5601819,-121.97875,Point,"[-121.97875,37.5601820001176]"
116,unsafe,,,,,,,,,,,,walk,"day, night","poor-lighting, obstacle, driving-speed, other","There is a curve before this intersection and no previous stop. It makes it difficult for drivers to see pedestrians, especially if they are traveling at unsafe speeds.",,,,,,,,,,10/1/2018,35.70828428,-118.453642,Point,"[-118.453641999562,35.7082840000782]"
117,nearMiss,1/9/2019,bike,night,driver,,none,,,"poor-bikelane, poor-lighting, unsafe-speed",I was on the edge of the bike lane trying to avoid an obstacle and a vehicle came within about an inch of my outside (left) handlebar going fast. This isn't terribly uncommon in this part of Broadway at rush hour. ,,,,,,,,,,,,,,,10/1/2018,37.81800359,-122.262509,Point,"[-122.262509000108,37.8180039999422]"
118,incident,12/20/2017,walk,night,"driver, bike",,sev,"poor-lighting, poor-sign",,,,yes,,,,,,,,,,,,,,10/1/2018,37.86314031,-122.258652,Point,"[-122.258651999892,37.8631399998313]"
119,nearMiss,1/3/2019,walk,night,driver,,none,,,other,I was crossing MLK headed west. A driver facing east on Derby made a fast left turn and screeched to a stop about two feet from me.,,,,,,,,,,,,,,,10/1/2018,37.85976431,-122.271645,Point,"[-122.271645000396,37.8597640002179]"
120,unsafe,,,,,,,,,,,,"walk, bike, ride",night,"poor-lighting, no-yield, driving-speed","There is a crosswalk at this location, but it is poorly lit and hazardous as cars are traveling too fast on Sacramento St and don't stop for pedestrians",,,,,,,,,,10/1/2018,37.86384112,-122.281446,Point,"[-122.281446000133,37.863840999991]"
121,unsafe,,,,,,,,,,,,"walk, ride","day, night","obstacle, driving-speed","This is a two way stop, but bushes and parked cars at the intersection make it very difficult to see cars coming from Sacramento. Cars do not stop for pedestrians here.",,,,,,,,,,10/1/2018,37.86429393,-122.280178,Point,"[-122.280178000262,37.8642940000702]"
122,nearMiss,1/9/2019,bike,night,driver,,none,,,"poor-lighting, other",https://streetstory.berkeley.edu/city/berkeley,,,,,,,,,,,,,,,10/1/2018,37.87805851,-122.271432,Point,"[-122.271431999961,37.878059000048]"
123,nearMiss,1/8/2019,walk,night,driver,,none,,,no-yield,"I was crossing at the crosswalk, at night, and a car zoomed through the crosswalk within 3 feet of me.",,,,,,,,,,,,,,,10/1/2018,37.87468017,-122.283314,Point,"[-122.283314000054,37.8746800002235]"
124,unsafe,,,,,,,,,,,,bike,night,"poor-lighting, driving-speed","There is a bike path through here that crosses @ N. Texas, the intersection that connects the  linear trail is poorly engineered and I've seen several near misses. It's also poorly lit even for just cars to where cyclists and pedestrians are barely seen.",,,,,,,,,,10/1/2018,38.26523686,-122.034228,Point,"[-122.034227999908,38.2652370000725]"
125,incident,1/23/2017,walk,day,"driver, ped",,none,,There was too much conflict for the pedestrian and the driver at the crosswalk to know who should  go (the pedestrian didn't feel comfortable  crossing with the car there and eventually the car bumped the pedestrian to move him on @ about 2 mph. ,,,no,,,,,,,,,,,,,,10/1/2018,38.26536518,-122.017365,Point,"[-122.017364999668,38.2653649996898]"
126,nearMiss,1/8/2019,walk,night,driver,,none,,,"poor-lighting, no-yield",,,,,,,,,,,,,,,,10/1/2018,33.98789768,-117.736978,Point,"[-117.73697800001,33.9878979996547]"
127,unsafe,,,,,,,,,,,,walk,"day, night","poor-lighting, poor-sign, no-yield, driving-speed",They recently fixed the pedestrian lights so it's a little better.  ,,,,,,,,,,10/1/2018,37.849662,-122.271019,Point,"[-122.271019000407,37.8496619997646]"
128,unsafe,,,,,,,,,,,,bike,"day, night",driving-speed,"My vote for worst intersection for cyclists in the city of Berkeley.  Major car route intersects with major bicycle route, poor visibility on both ends.  Cars are normally carrying speed at this point too.",,,,,,,,,,10/1/2018,37.87594459,-122.273481,Point,"[-122.273480999632,37.8759449996906]"
129,nearMiss,Dec-90,bike,day,driver,,none,,,no-yield,,,,,,,,,,,,,,,,10/1/2018,37.87276435,-122.28583,Point,"[-122.285829999705,37.8727639997181]"
130,nearMiss,1/22/2019,walk,night,driver,,none,,,"poor-lighting, no-yield","I was crossing with the light, and someone was making a right turn on a red and almost hit me",,,,,,,,,,,,,,,10/1/2018,37.81473941,-122.268191,Point,"[-122.268190999688,37.8147390001326]"
131,nearMiss,Jun-18,wheelchair,day,"driver, bike",,none,,,"no-yield, unsafe-speed",Car made right turn on green light closely cutting off me and a youth on a bicycle.,,,,,,,,,wheelchair,,,,,,10/1/2018,37.72056279,-122.171763,Point,"[-122.171763000211,37.7205629998658]"
132,incident,1/17/2019,wheelchair,day,bike,,minor,poor-lighting,,,,yes,,,,,,,,whitecane,,,,,,10/1/2018,36.5759165,-121.7212331,Point,"[-121.721233000095,36.5759170001207]"
134,unsafe,,,,,,,,,,,,"walk, ride",night,poor-lighting,Difficult to see pedestrians when turning onto Spruce Street after dark,,,,,,,,,"1400-1598 Spruce St, South Pasadena, CA, 91030, USA",1/28/2019,34.10544033,-118.1527343,Point,"[-118.152733999882,34.1054399998026]"
135,nearMiss,1/25/2019,bike,day,driver,,none,,,"poor-bikelane, poor-sign",I  needed full lane on my bike ( on incline). Aggressive auto driver yelled GET OVER!! You re in the toad! There are no Sharon’s or Share The Road signs.,,,,,,,,,,,,,,"562-598 W Julian St, San Jose, CA, 95110, USA",1/28/2019,37.33466382,-121.9044737,Point,"[-121.904473999983,37.3346640000183]"
136,nearMiss,1/5/2019,bike,day,"driver, bike",,none,,,other,Driver crossed a solid double line on a blind curve and passed an ascending cyclist and nearly hit a descending cyclist!,,,,,,,,,,,,,,"2601-2699 Mt Diablo Scenic Blvd, Danville, CA, 94506, USA",1/31/2019,37.84156151,-121.931971,Point,"[-121.931970999639,37.8415619998143]"
137,unsafe,,,,,,,,,,,,ride,night,"poor-lighting, no-yield, driving-speed",,,,,,,,,,"2700-2832 Channing Way, Berkeley, CA, 94704, USA",1/31/2019,37.86766794,-122.2520875,Point,"[-122.252087000404,37.8676680001348]"
138,incident,Sep-18,bike,day,"driver, bike",,sev,other,Driver may have been distracted or done it on purpose. Hit and run.,,,yes,,,,,,,,,,,,,"Magdalena Ave, Los Altos, CA, 94024, USA",1/31/2019,37.3587075,-122.099283,Point,"[-122.099283000145,37.3587080000611]"
139,nearMiss,Mar-18,bike,day,driver,,none,,,other,I was riding downhill in the bike lane and a car at the intersecting street proceeded and then stopped which caused him to block the bike lane before seeing me. I presume he didn’t see me. ,,,,,,,,,,,,,,"Scripps Ranch Blvd, San Diego, CA, 92131, USA",2/5/2019,32.92063027,-117.1102815,Point,"[-117.11028200003,32.9206300002831]"
140,nearMiss,1/18/2019,bike,day,driver,,none,,,no-yield,"I almost got clipped at red light proceeding north on Cypress, by a car turning right",,,,,,,,,,,,,,"756 CA-32 E, Chico, CA, 95928, USA",2/5/2019,39.72935953,-121.8291995,Point,"[-121.829200000432,39.7293599999076]"
141,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard, ride","safe-speed, car-traffic, good-sidewalk",Comfortable place to enter Lower Bidwell Park!,,,,,,"1000-1098 Woodland Ave, Chico, CA, 95928, USA",2/5/2019,39.73356999,-121.8293219,Point,"[-121.829321999733,39.7335700002371]"
142,unsafe,,,,,,,,,,,,"walk, bike, wheelchair","day, night","poor-sidewalk, poor-bikelane, poor-street, poor-lighting, driving-speed",People drive to fast on this rd and it's on a corner I've only lived there since July 20q8 and already 2 car accidents  and we have trouble getting in and out of driveway,,,,,,,,,"3304-3398 Lake Isabella Blvd, Bodfish, CA, 93205, USA",2/5/2019,35.59090623,-118.4944264,Point,"[-118.494426000348,35.5909059999915]"
143,incident,5/16/2018,other,day,driver,,none,unsafe-speed,Car t-boned another car pulling out of the high school. ,,,yes,,,,,,,,,,,,,"N Palm St, Brea, CA, 92821, USA",2/5/2019,33.92845435,-117.9243739,Point,"[-117.92437400004,33.9284540001659]"
144,nearMiss,1/2/2019,walk,day,driver,,none,,,"no-yield, unsafe-speed",Car was speeding down palm and nearly missed pedestrians in the crosswalk. ,,,,,,,,,,,,,,"N Palm St, Brea, CA, 92821, USA",2/5/2019,33.92898437,-117.9243812,Point,"[-117.924380999713,33.928983999889]"
145,nearMiss,11/13/2018,bike,day,"driver, bike",,none,,,"poor-bikelane, unsafe-speed",Car almost hit a pedestrian on a bicycle ,,,,,,,,,,,,,,"N Palm St, Brea, CA, 92821, USA",2/5/2019,33.92888855,-117.9243799,Point,"[-117.924379999888,33.9288890000828]"
146,unsafe,,,,,,,,,,,,"walk, bike, scooter, ride","day, night","poor-sidewalk, poor-bikelane, poor-lighting, no-yield, driving-speed",Cars speed down Palm with no regard for pedestrians or students from the high school. ,,,,,,,,,"701 Archwood Ave, Brea, CA, 92821, USA",2/5/2019,33.93092868,-117.9238336,Point,"[-117.923834000265,33.9309289998922]"
147,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane, poor-lighting, no-yield, driving-speed",,,,,,,,,,"989 Drysdale Way, Madera, CA, 93638, USA",2/6/2019,36.96009168,-120.0389766,Point,"[-120.03897700013,36.9600920001004]"
148,unsafe,,,,,,,,,,,,"walk, bike",,"poor-sidewalk, poor-bikelane",,,,,,,,,,"28296-28498 Avenue 14 1/2, Madera, CA, 93638, USA",2/6/2019,36.95978292,-120.0289661,Point,"[-120.028966000331,36.9597829996954]"
149,nearMiss,Sep-18,bike,day,driver,,none,,,poor-bikelane,Buzzed by a driver going about 40 MPH.,,,,,,,,,,,,,,"1663-1799 2nd St, San Rafael, CA, 94901, USA",2/7/2019,37.97281195,-122.5378348,Point,"[-122.537834999909,37.972811999669]"
150,nearMiss,11/8/2018,bike,day,driver,,none,,,no-yield,The driver went through a stop sign while turning onto Washington Blvd. He was talking on his phone which he had held up to his left ear so couldn't see anything coming from the left. Turned out in front of me as I biked along Washington Blvd.,,,,,,,,,,,,,,"1411 Washington Blvd, San Francisco, CA, 94129, USA",2/7/2019,37.7936728,-122.4750287,Point,"[-122.475029000257,37.7936730002535]"
151,nearMiss,Jan-19,bike,day,driver,,none,,,"poor-bikelane, unsafe-speed",Car driving what felt like 45+ mph I was moving from bike share station to right lane and light turned green upon merging of lanes. I was almost hit by this vehicle and it makes me want to bike on sidewalk to get to my place of work.,,,,,,,,,,,,,,"39-39 Beale St, San Francisco, CA, 94105, USA",2/7/2019,37.79198529,-122.396687,Point,"[-122.396686999787,37.7919850002289]"
152,incident,Oct-18,bike,day,bike,,minor,"curving, no-yield","Car made left turn into path of cyclist. 
Rider fell but was lucky car ran over bike and not him",,,yes,,,,,,,,,,,,,"2802 Brewster Ave, Redwood City, CA, 94062, USA",2/7/2019,37.47524867,-122.2512113,Point,"[-122.25121100017,37.4752489998061]"
153,unsafe,,,,,,,,,,,,bike,day,poor-sign, Lack of signal makes it hard to cross Ashby along the California Street bicycle blvd,,,,,,,,,"1601-1611 Ashby Ave, Berkeley, CA, 94703, USA",2/8/2019,37.85360889,-122.2769342,Point,"[-122.276933999616,37.8536090002803]"
154,incident,1/10/2018,walk,night,"driver, ped",,sev,"poor-lighting, no-yield",,,,yes,,,,,,,,,,,,,"1801-1837 Brush St, Oakland, CA, 94612, USA",2/8/2019,37.80985397,-122.2766941,Point,"[-122.276694000315,37.8098539998973]"
155,incident,2/8/2019,bike,day,driver,,minor,no-yield,Pickup truck driver didn't pay attention to the bike lane and pulled out as I was coming down Alameda.  Bike wheels made inoperable; surface injuries,,,no,,,,,,,,,,,,,"633 Alameda de las Pulgas, Redwood City, CA, 94061, USA",2/8/2019,37.46875248,-122.2465154,Point,"[-122.246515000429,37.4687519998617]"
156,nearMiss,2/7/2019,bike,day,driver,,none,,,"no-yield, unsafe-speed",Driver ran red light at speed eastbound SFD making a right southbound onto Taylor while bicycle with right of way was in the intersection southbound on Taylor with green light. Bicycle stopped in intersection to avoid getting hit. ,,,,,,,,,,,,,,"1942-1964 Sir Francis Drake Blvd, Fairfax, CA, 94930, USA",2/9/2019,37.98743626,-122.5894575,Point,"[-122.589458000149,37.9874360003249]"
157,nearMiss,,bike,day,driver,,none,,,"poor-bikelane, unsafe-speed",The bike lane is non-existent here and cars speed by in the lane without moving over (even though there are two lanes in each direction).  They are also frequently going faster than 25mph.,,,,,,,,,,,,,,"4145-4175 Middlefield Rd, Palo Alto, CA, 94303, USA",2/9/2019,37.41663877,-122.1040208,Point,"[-122.10402099972,37.4166390001337]"
158,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-street, no-yield, driving-speed",The bike lane appears and disappears multiple times along northbound Rengstorff Avenue.  Cars are not looking out for bicycles.,,,,,,,,,"337-359 Rengstorff Ave, Mountain View, CA, 94040, USA",2/9/2019,37.39927267,-122.0997179,Point,"[-122.099718000339,37.399273000106]"
159,nearMiss,2/8/2019,bike,night,driver,,none,,,no-yield,"NB driver swerved into SB lane to avoid an obstruction in the NB lane without bothering to see if the SB lane was clear of traffic,  namely me",,,,,,,,,,,,,,"1200 Pacific Ave, Santa Cruz, CA, 95060, USA",2/11/2019,36.97325234,-122.0259101,Point,"[-122.025910000127,36.9732519999965]"
163,incident,Feb-19,bike,day,driver,,minor,other,,,,yes,,,,,,,,,,,,,"Bancroft Way, Berkeley, CA, 94704, USA",2/13/2019,37.86787007,-122.2656614,Point,"[-122.265660999793,37.8678699998471]"
